PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence),Idx,Keywords
151897,8288,carry much of the film with a creepy and dead-on performance .,3,carries much of the film with a creepy and dead-on performance .,1,2,2.1,151897,"['and', 'and dead', 'carry', 'creepy', 'creepy and', 'dead', 'film', 'film with', 'much', 'much of', 'of', 'of the', 'on', 'performance', 'the', 'the film', 'with']"
92057,4791,Idiotic and ugly,0,Idiotic and ugly,2,2,2.0,92057,"['and', 'and ugly', 'idiotic', 'ugly']"
22212,996,this disappointed by a movie in a long time,0,this disappointed by a movie in a long time,4,4,2.0,22212,"['by', 'disappointed', 'in', 'in long', 'long', 'long time', 'movie', 'movie in', 'this', 'time']"
79349,4087,I can not recommend it .,0,I ca n't recommend it .,2,2,2.0,79349,"['can', 'can not', 'it', 'not', 'recommend', 'recommend it']"
107490,5679,Fantastic !,4,Fantastic !,2,2,2.0,107490,['fantastic']
49009,2392,Terrible .,0,Terrible .,2,2,2.0,49009,['terrible']
22208,996,I have not been this disappointed by a movie in a long time .,0,I have not been this disappointed by a movie in a long time .,2,2,2.0,22208,"['been', 'by', 'disappointed', 'have', 'have not', 'in', 'in long', 'long', 'long time', 'movie', 'movie in', 'not', 'not been', 'this', 'time']"
22209,996,have not been this disappointed by a movie in a long time .,0,have not been this disappointed by a movie in a long time .,2,2,2.0,22209,"['been', 'by', 'disappointed', 'have', 'have not', 'in', 'in long', 'long', 'long time', 'movie', 'movie in', 'not', 'not been', 'this', 'time']"
22210,996,have not been this disappointed by a movie in a long time,0,have not been this disappointed by a movie in a long time,2,2,2.0,22210,"['been', 'by', 'disappointed', 'have', 'have not', 'in', 'in long', 'long', 'long time', 'movie', 'movie in', 'not', 'not been', 'this', 'time']"
22211,996,been this disappointed by a movie in a long time,0,been this disappointed by a movie in a long time,4,4,2.0,22211,"['been', 'by', 'disappointed', 'in', 'in long', 'long', 'long time', 'movie', 'movie in', 'this', 'time']"
22213,996,disappointed by a movie in a long time,1,disappointed by a movie in a long time,4,3,2.0,22213,"['by', 'disappointed', 'in', 'in long', 'long', 'long time', 'movie', 'movie in', 'time']"
154770,8466,Consider it ` perfection . ',4,Consider it ` perfection . ',2,2,2.0,154770,"['consider', 'it']"
22214,996,disappointed by a movie,1,disappointed by a movie,2,1,2.0,22214,"['by', 'disappointed', 'movie']"
137444,7436,lame comedy .,0,lame comedy .,2,2,2.0,137444,"['comedy', 'lame']"
137443,7436,A lame comedy .,0,A lame comedy .,2,2,2.0,137443,"['comedy', 'lame']"
22215,996,by a movie,2,by a movie,2,0,2.0,22215,"['by', 'movie']"
22216,996,in a long time,2,in a long time,2,0,2.0,22216,"['in', 'in long', 'long', 'long time', 'time']"
59963,3025,This is one baaaaaaaaad movie .,0,This is one baaaaaaaaad movie .,2,2,2.0,59963,"['is', 'is one', 'movie', 'one', 'this', 'this is']"
59964,3025,is one baaaaaaaaad movie .,0,is one baaaaaaaaad movie .,2,2,2.0,59964,"['is', 'is one', 'movie', 'one']"
79350,4087,can not recommend it .,0,ca n't recommend it .,2,2,2.0,79350,"['can', 'can not', 'it', 'not', 'recommend', 'recommend it']"
154771,8466,Consider it ` perfection .,4,Consider it ` perfection .,2,2,2.0,154771,"['consider', 'it']"
92058,4791,Idiotic and,0,Idiotic and,2,2,2.0,92058,"['and', 'idiotic']"
80680,4155,well-crafted letdown .,1,well-crafted letdown .,3,2,2.0,80680,"['crafted', 'well', 'well crafted']"
82934,4282,An infuriating film .,0,An infuriating film .,2,2,2.0,82934,"['an', 'film']"
82935,4282,infuriating film .,0,infuriating film .,2,2,2.0,82935,['film']
109284,5787,A riveting documentary .,4,A riveting documentary .,2,2,2.0,109284,"['documentary', 'riveting']"
109285,5787,riveting documentary .,4,riveting documentary .,2,2,2.0,109285,"['documentary', 'riveting']"
25762,1178,Amazing !,4,Amazing !,2,2,2.0,25762,['amazing']
117687,6281,Thumbs down,0,Thumbs down,2,2,2.0,117687,['down']
117686,6281,Thumbs down .,0,Thumbs down .,2,2,2.0,117686,['down']
139699,7579,Refreshing .,4,Refreshing .,2,2,2.0,139699,['refreshing']
154772,8466,Consider it ` perfection,4,Consider it ` perfection,2,2,2.0,154772,"['consider', 'it']"
113298,6020,real snooze .,0,real snooze .,2,2,2.0,113298,['real']
113297,6020,A real snooze .,0,A real snooze .,2,2,2.0,113297,['real']
124454,6686,Horrible .,0,Horrible .,2,2,2.0,124454,['horrible']
138601,7508,Amazingly lame .,0,Amazingly lame .,2,2,2.0,138601,"['amazingly', 'lame']"
80679,4155,A well-crafted letdown .,1,A well-crafted letdown .,3,2,2.0,80679,"['crafted', 'well', 'well crafted']"
154774,8466,` perfection,4,` perfection,2,2,2.0,154774,[]
154773,8466,it ` perfection,4,it ` perfection,2,2,2.0,154773,['it']
59965,3025,is one baaaaaaaaad movie,0,is one baaaaaaaaad movie,2,2,2.0,59965,"['is', 'is one', 'movie', 'one']"
59966,3025,one baaaaaaaaad movie,0,one baaaaaaaaad movie,2,2,2.0,59966,"['movie', 'one']"
59967,3025,baaaaaaaaad movie,0,baaaaaaaaad movie,2,2,2.0,59967,['movie']
24514,1115,Truly terrible .,0,Truly terrible .,2,2,2.0,24514,"['terrible', 'truly']"
144269,7831,gripping drama .,4,gripping drama .,2,2,2.0,144269,"['drama', 'gripping']"
144268,7831,A gripping drama .,4,A gripping drama .,2,2,2.0,144268,"['drama', 'gripping']"
126103,6774,Stale and,0,Stale and,2,2,2.0,126103,"['and', 'stale']"
65380,3310,Extremely bad,0,Extremely bad,2,2,2.0,65380,"['bad', 'extremely']"
65379,3310,Extremely bad .,0,Extremely bad .,2,2,2.0,65379,"['bad', 'extremely']"
104540,5518,Crummy .,0,Crummy .,2,2,2.0,104540,[]
7973,325,See it .,4,See it .,2,2,2.0,7973,"['it', 'see', 'see it']"
92056,4791,Idiotic and ugly .,0,Idiotic and ugly .,2,2,2.0,92056,"['and', 'and ugly', 'idiotic', 'ugly']"
109541,5803,lame .,0,lame .,2,2,2.0,109541,['lame']
59968,3025,baaaaaaaaad,0,baaaaaaaaad,2,2,2.0,59968,[]
109539,5803,... unbearably lame .,0,... unbearably lame .,2,2,2.0,109539,['lame']
18421,807,Execrable .,0,Execrable .,2,2,2.0,18421,[]
18422,807,Execrable,0,Execrable,2,2,2.0,18422,[]
109540,5803,unbearably lame .,0,unbearably lame .,2,2,2.0,109540,['lame']
24515,1115,Truly terrible,0,Truly terrible,2,2,2.0,24515,"['terrible', 'truly']"
30052,1395,This thing is virtually unwatchable .,0,This thing is virtually unwatchable .,2,2,2.0,30052,"['is', 'thing', 'thing is', 'this', 'virtually']"
114979,6123,What an embarrassment .,0,What an embarrassment .,2,2,2.0,114979,"['an', 'embarrassment', 'what']"
30056,1395,unwatchable,0,unwatchable,2,2,2.0,30056,[]
114981,6123,embarrassment .,0,embarrassment .,2,2,2.0,114981,['embarrassment']
114980,6123,an embarrassment .,0,an embarrassment .,2,2,2.0,114980,"['an', 'embarrassment']"
30053,1395,is virtually unwatchable .,0,is virtually unwatchable .,2,2,2.0,30053,"['is', 'virtually']"
30054,1395,is virtually unwatchable,0,is virtually unwatchable,2,2,2.0,30054,"['is', 'virtually']"
30055,1395,virtually unwatchable,0,virtually unwatchable,2,2,2.0,30055,['virtually']
155176,8495,Disgusting .,0,Disgusting .,2,2,2.0,155176,['disgusting']
110427,5849,too good,3,too good,1,2,1.9285714285714286,110427,"['good', 'too']"
110426,5849,are simply too good,3,are simply too good,1,2,1.9285714285714286,110426,"['are', 'are simply', 'good', 'simply', 'simply too', 'too']"
110419,5849,"The actor are simply too good , and the story too intriguing , for technical flaw to get in the way .",4,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",1,3,1.9285714285714286,110419,"['actor', 'and', 'and the', 'are', 'are simply', 'flaw', 'for', 'get', 'get in', 'good', 'good and', 'in', 'in the', 'intriguing', 'simply', 'simply too', 'story', 'technical', 'the', 'the actor', 'the story', 'the way', 'to', 'to get', 'too', 'way']"
110424,5849,"The actor are simply too good ,",3,"The actors are simply too good ,",1,2,1.9285714285714286,110424,"['actor', 'are', 'are simply', 'good', 'simply', 'simply too', 'the', 'the actor', 'too']"
110425,5849,The actor are simply too good,4,The actors are simply too good,1,3,1.9285714285714286,110425,"['actor', 'are', 'are simply', 'good', 'simply', 'simply too', 'the', 'the actor', 'too']"
110428,5849,the story too intriguing,2,the story too intriguing,3,1,1.9285714285714286,110428,"['intriguing', 'story', 'the', 'the story', 'too']"
110429,5849,too intriguing,2,too intriguing,3,1,1.9285714285714286,110429,"['intriguing', 'too']"
110430,5849,for technical flaw to get in the way,1,for technical flaws to get in the way,2,1,1.9285714285714286,110430,"['flaw', 'for', 'get', 'get in', 'in', 'in the', 'technical', 'the', 'the way', 'to', 'to get', 'way']"
110431,5849,technical flaw to get in the way,1,technical flaws to get in the way,2,1,1.9285714285714286,110431,"['flaw', 'get', 'get in', 'in', 'in the', 'technical', 'the', 'the way', 'to', 'to get', 'way']"
110432,5849,technical flaw,1,technical flaws,2,1,1.9285714285714286,110432,"['flaw', 'technical']"
110421,5849,"The actor are simply too good , and the story too intriguing ,",4,"The actors are simply too good , and the story too intriguing ,",1,3,1.9285714285714286,110421,"['actor', 'and', 'and the', 'are', 'are simply', 'good', 'good and', 'intriguing', 'simply', 'simply too', 'story', 'the', 'the actor', 'the story', 'too']"
110422,5849,"The actor are simply too good , and the story too intriguing",4,"The actors are simply too good , and the story too intriguing",1,3,1.9285714285714286,110422,"['actor', 'and', 'and the', 'are', 'are simply', 'good', 'good and', 'intriguing', 'simply', 'simply too', 'story', 'the', 'the actor', 'the story', 'too']"
110423,5849,"The actor are simply too good , and",4,"The actors are simply too good , and",1,3,1.9285714285714286,110423,"['actor', 'and', 'are', 'are simply', 'good', 'good and', 'simply', 'simply too', 'the', 'the actor', 'too']"
110420,5849,"The actor are simply too good , and the story too intriguing , for technical flaw to get in the way",2,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way",1,1,1.9285714285714286,110420,"['actor', 'and', 'and the', 'are', 'are simply', 'flaw', 'for', 'get', 'get in', 'good', 'good and', 'in', 'in the', 'intriguing', 'simply', 'simply too', 'story', 'technical', 'the', 'the actor', 'the story', 'the way', 'to', 'to get', 'too', 'way']"
127890,6879,visually unappealing,0,visually unappealing,2,2,1.9090909090909092,127890,['visually']
127885,6879,", this is the most visually unappealing .",0,", this is the most visually unappealing .",4,4,1.9090909090909092,127885,"['is', 'is the', 'most', 'the', 'the most', 'this', 'this is', 'visually']"
127880,6879,"Of all the Halloween 's , this is the most visually unappealing .",0,"Of all the Halloween 's , this is the most visually unappealing .",4,4,1.9090909090909092,127880,"['all', 'all the', 'halloween', 'is', 'is the', 'most', 'of', 'of all', 'the', 'the most', 'this', 'this is', 'visually']"
127889,6879,is the most,2,is the most,2,0,1.9090909090909092,127889,"['is', 'is the', 'most', 'the', 'the most']"
127881,6879,Of all the Halloween 's,2,Of all the Halloween 's,2,0,1.9090909090909092,127881,"['all', 'all the', 'halloween', 'of', 'of all', 'the']"
127882,6879,all the Halloween 's,2,all the Halloween 's,2,0,1.9090909090909092,127882,"['all', 'all the', 'halloween', 'the']"
127883,6879,the Halloween 's,2,the Halloween 's,2,0,1.9090909090909092,127883,"['halloween', 'the']"
127884,6879,Halloween 's,2,Halloween 's,2,0,1.9090909090909092,127884,['halloween']
127886,6879,this is the most visually unappealing .,0,this is the most visually unappealing .,4,4,1.9090909090909092,127886,"['is', 'is the', 'most', 'the', 'the most', 'this', 'this is', 'visually']"
127887,6879,is the most visually unappealing .,0,is the most visually unappealing .,4,4,1.9090909090909092,127887,"['is', 'is the', 'most', 'the', 'the most', 'visually']"
127888,6879,is the most visually unappealing,1,is the most visually unappealing,4,3,1.9090909090909092,127888,"['is', 'is the', 'most', 'the', 'the most', 'visually']"
152334,8312,is a big time stinker,0,is a big time stinker,2,2,1.875,152334,"['big', 'big time', 'is', 'stinker', 'time']"
95764,5002,As for child,2,As for children,2,0,1.875,95764,"['as', 'child', 'for', 'for child']"
152332,8312,'' is a big time stinker .,0,'' is a big time stinker .,2,2,1.875,152332,"['big', 'big time', 'is', 'stinker', 'time']"
152331,8312,The Adventures of Pluto Nash '' is a big time stinker .,0,The Adventures of Pluto Nash '' is a big time stinker .,2,2,1.875,152331,"['adventures', 'adventures of', 'big', 'big time', 'is', 'of', 'stinker', 'the', 'the adventures', 'time']"
152330,8312,`` The Adventures of Pluto Nash '' is a big time stinker .,0,`` The Adventures of Pluto Nash '' is a big time stinker .,2,2,1.875,152330,"['adventures', 'adventures of', 'big', 'big time', 'is', 'of', 'stinker', 'the', 'the adventures', 'time']"
152337,8312,time stinker,0,time stinker,2,2,1.875,152337,"['stinker', 'time']"
152336,8312,big time stinker,0,big time stinker,2,2,1.875,152336,"['big', 'big time', 'stinker', 'time']"
152335,8312,a big time stinker,1,a big time stinker,2,1,1.875,152335,"['big', 'big time', 'stinker', 'time']"
95763,5002,"As for child , they wo not enjoy the movie at all .",1,"As for children , they wo n't enjoy the movie at all .",3,2,1.875,95763,"['all', 'as', 'at', 'at all', 'child', 'enjoy', 'enjoy the', 'for', 'for child', 'movie', 'movie at', 'not', 'the', 'the movie', 'they', 'wo', 'wo not']"
152333,8312,is a big time stinker .,0,is a big time stinker .,2,2,1.875,152333,"['big', 'big time', 'is', 'stinker', 'time']"
95765,5002,", they wo not enjoy the movie at all .",0,", they wo n't enjoy the movie at all .",3,3,1.875,95765,"['all', 'at', 'at all', 'enjoy', 'enjoy the', 'movie', 'movie at', 'not', 'the', 'the movie', 'they', 'wo', 'wo not']"
95770,5002,enjoy the movie,4,enjoy the movie,3,1,1.875,95770,"['enjoy', 'enjoy the', 'movie', 'the', 'the movie']"
95768,5002,wo not enjoy the movie at all,0,wo n't enjoy the movie at all,3,3,1.875,95768,"['all', 'at', 'at all', 'enjoy', 'enjoy the', 'movie', 'movie at', 'not', 'the', 'the movie', 'wo', 'wo not']"
95767,5002,wo not enjoy the movie at all .,1,wo n't enjoy the movie at all .,3,2,1.875,95767,"['all', 'at', 'at all', 'enjoy', 'enjoy the', 'movie', 'movie at', 'not', 'the', 'the movie', 'wo', 'wo not']"
95769,5002,enjoy the movie at all,2,enjoy the movie at all,3,1,1.875,95769,"['all', 'at', 'at all', 'enjoy', 'enjoy the', 'movie', 'movie at', 'the', 'the movie']"
95766,5002,they wo not enjoy the movie at all .,0,they wo n't enjoy the movie at all .,3,3,1.875,95766,"['all', 'at', 'at all', 'enjoy', 'enjoy the', 'movie', 'movie at', 'not', 'the', 'the movie', 'they', 'wo', 'wo not']"
5101,199,superior horror flick,4,superior horror flick,2,2,1.8571428571428572,5101,"['flick', 'horror', 'horror flick', 'superior']"
5099,199,is a superior horror flick,4,is a superior horror flick,1,3,1.8571428571428572,5099,"['flick', 'horror', 'horror flick', 'is', 'superior']"
5098,199,is a superior horror flick .,4,is a superior horror flick .,1,3,1.8571428571428572,5098,"['flick', 'horror', 'horror flick', 'is', 'superior']"
5102,199,superior,3,superior,2,1,1.8571428571428572,5102,['superior']
5103,199,horror flick,2,horror flick,2,0,1.8571428571428572,5103,"['flick', 'horror', 'horror flick']"
5100,199,a superior horror flick,3,a superior horror flick,2,1,1.8571428571428572,5100,"['flick', 'horror', 'horror flick', 'superior']"
5097,199,This is a superior horror flick .,4,This is a superior horror flick .,1,3,1.8571428571428572,5097,"['flick', 'horror', 'horror flick', 'is', 'superior', 'this', 'this is']"
20097,892,`` Abandon '' will leave you wanting to abandon the theater .,0,`` Abandon '' will leave you wanting to abandon the theater .,3,3,1.8333333333333333,20097,"['abandon', 'leave', 'leave you', 'the', 'the theater', 'theater', 'to', 'wanting', 'will', 'will leave', 'you', 'you wanting']"
47860,2333,", it 's not half-bad .",3,", it 's not half-bad .",1,2,1.8333333333333333,47860,"['bad', 'half', 'it', 'it not', 'not']"
20098,892,Abandon '' will leave you wanting to abandon the theater .,0,Abandon '' will leave you wanting to abandon the theater .,3,3,1.8333333333333333,20098,"['abandon', 'leave', 'leave you', 'the', 'the theater', 'theater', 'to', 'wanting', 'will', 'will leave', 'you', 'you wanting']"
20099,892,Abandon,1,Abandon,2,1,1.8333333333333333,20099,['abandon']
47859,2333,Even at it worst,2,Even at its worst,0,2,1.8333333333333333,47859,"['at', 'at it', 'even', 'it', 'worst']"
20100,892,'' will leave you wanting to abandon the theater .,0,'' will leave you wanting to abandon the theater .,3,3,1.8333333333333333,20100,"['abandon', 'leave', 'leave you', 'the', 'the theater', 'theater', 'to', 'wanting', 'will', 'will leave', 'you', 'you wanting']"
20103,892,leave you wanting to abandon the theater,0,leave you wanting to abandon the theater,3,3,1.8333333333333333,20103,"['abandon', 'leave', 'leave you', 'the', 'the theater', 'theater', 'to', 'wanting', 'you', 'you wanting']"
20101,892,will leave you wanting to abandon the theater .,0,will leave you wanting to abandon the theater .,3,3,1.8333333333333333,20101,"['abandon', 'leave', 'leave you', 'the', 'the theater', 'theater', 'to', 'wanting', 'will', 'will leave', 'you', 'you wanting']"
20102,892,will leave you wanting to abandon the theater,1,will leave you wanting to abandon the theater,3,2,1.8333333333333333,20102,"['abandon', 'leave', 'leave you', 'the', 'the theater', 'theater', 'to', 'wanting', 'will', 'will leave', 'you', 'you wanting']"
33975,1596,with the material,2,with the material,2,0,1.8333333333333333,33975,"['material', 'the', 'the material', 'with', 'with the']"
20104,892,you wanting to abandon the theater,1,you wanting to abandon the theater,2,1,1.8333333333333333,20104,"['abandon', 'the', 'the theater', 'theater', 'to', 'wanting', 'you', 'you wanting']"
20105,892,wanting to abandon the theater,1,wanting to abandon the theater,2,1,1.8333333333333333,20105,"['abandon', 'the', 'the theater', 'theater', 'to', 'wanting']"
20106,892,wanting,2,wanting,2,0,1.8333333333333333,20106,['wanting']
20107,892,to abandon the theater,1,to abandon the theater,2,1,1.8333333333333333,20107,"['abandon', 'the', 'the theater', 'theater', 'to']"
20108,892,abandon the theater,1,abandon the theater,2,1,1.8333333333333333,20108,"['abandon', 'the', 'the theater', 'theater']"
47858,2333,"Even at it worst , it 's not half-bad .",3,"Even at its worst , it 's not half-bad .",0,3,1.8333333333333333,47858,"['at', 'at it', 'bad', 'even', 'half', 'it', 'it not', 'not', 'worst']"
47862,2333,'s not half-bad .,3,'s not half-bad .,1,2,1.8333333333333333,47862,"['bad', 'half', 'not']"
33970,1596,Noyce ha worked wonder with the material .,4,Noyce has worked wonders with the material .,1,3,1.8333333333333333,33970,"['ha', 'material', 'the', 'the material', 'with', 'with the', 'wonder', 'worked']"
33974,1596,worked wonder,4,worked wonders,2,2,1.8333333333333333,33974,"['wonder', 'worked']"
33973,1596,worked wonder with the material,4,worked wonders with the material,2,2,1.8333333333333333,33973,"['material', 'the', 'the material', 'with', 'with the', 'wonder', 'worked']"
47863,2333,'s not half-bad,2,'s not half-bad,1,1,1.8333333333333333,47863,"['bad', 'half', 'not']"
33972,1596,ha worked wonder with the material,3,has worked wonders with the material,1,2,1.8333333333333333,33972,"['ha', 'material', 'the', 'the material', 'with', 'with the', 'wonder', 'worked']"
33971,1596,ha worked wonder with the material .,3,has worked wonders with the material .,1,2,1.8333333333333333,33971,"['ha', 'material', 'the', 'the material', 'with', 'with the', 'wonder', 'worked']"
47861,2333,it 's not half-bad .,2,it 's not half-bad .,1,1,1.8333333333333333,47861,"['bad', 'half', 'it', 'it not', 'not']"
62893,3182,Thoroughly engrossing,4,Thoroughly engrossing,2,2,1.8,62893,"['engrossing', 'thoroughly']"
12562,539,` This movie suck . ',0,` This movie sucks . ',2,2,1.8,12562,"['movie', 'suck', 'this', 'this movie']"
12563,539,This movie suck . ',1,This movie sucks . ',2,1,1.8,12563,"['movie', 'suck', 'this', 'this movie']"
12564,539,suck . ',0,sucks . ',2,2,1.8,12564,['suck']
12565,539,suck .,0,sucks .,2,2,1.8,12565,['suck']
62890,3182,Thoroughly engrossing and ultimately tragic .,1,Thoroughly engrossing and ultimately tragic .,4,3,1.8,62890,"['and', 'and ultimately', 'engrossing', 'thoroughly', 'tragic', 'ultimately']"
62891,3182,Thoroughly engrossing and ultimately tragic,2,Thoroughly engrossing and ultimately tragic,4,2,1.8,62891,"['and', 'and ultimately', 'engrossing', 'thoroughly', 'tragic', 'ultimately']"
100360,5266,recommend this film more,3,recommend this film more,3,0,1.8,100360,"['film', 'film more', 'more', 'recommend', 'this', 'this film']"
62894,3182,ultimately tragic,1,ultimately tragic,2,1,1.8,62894,"['tragic', 'ultimately']"
